model,target,mean_roc_auc,std_roc_auc,all_roc_auc,mean_pr_auc,std_pr_auc,all_pr_auc,mean_f1_macro,std_f1_macro,all_f1_macro,best_params
xgb,target_inv_exit,0.7106794296672608,0.020947743139156236,"[0.6884822317423743, 0.7214371203901523, 0.7351811099082471, 0.703923900118906, 0.7031674268372762, 0.6771334321259339, 0.7424374855804213, 0.6920443856815802, 0.7349503966493337, 0.7080368076383835]",0.08391648974276254,0.018321913260272955,"[0.07006335654976545, 0.08401234652066114, 0.10993927358541246, 0.11100185127672682, 0.07168382866863966, 0.057192441843986794, 0.08726165026588005, 0.06598966568882739, 0.10612956686292305, 0.07589091616480267]",0.47999564088741487,0.021849410870058546,"[0.5366196454715079, 0.49976205392641143, 0.463859831516777, 0.4726751494610116, 0.4625446292229607, 0.472297099987657, 0.4698246757622389, 0.48439975227487814, 0.47717167347425354, 0.4608018977764521]","{'max_depth': 4, 'min_child_weight': 10, 'gamma': 2.6023703507958347, 'subsample': 0.6324784306750694, 'colsample_bytree': 0.6546477307984988, 'learning_rate': 0.019664352442501143, 'n_estimators': 350, 'reg_alpha': 1.138567554951192, 'reg_lambda': 9.84199580432841, 'max_delta_step': 3}"
xgb,target_acquisition,0.8108825421425532,0.060828268108617065,"[0.9034043441938179, 0.7030492898913951, 0.7944444444444445, 0.8199874686716793, 0.7963032581453634, 0.7354841197909637, 0.8068727462059124, 0.7912914360645622, 0.8579748153576181, 0.900013498659776]",0.06762063316857633,0.05746752487317052,"[0.037038211567994694, 0.012379263004809822, 0.030376814150341193, 0.1323088822653631, 0.04588754156522591, 0.01986193004689316, 0.11683595238301096, 0.0385419674474571, 0.19778434600085273, 0.04519142325381475]",0.5351282112545652,0.04311749428313014,"[0.49918658490802154, 0.4988730277986476, 0.49912390488110137, 0.5545538024876868, 0.5658530479409187, 0.49906120916259855, 0.5616236855282924, 0.4989984977466199, 0.6353613812897201, 0.5386469708020449]","{'max_depth': 8, 'min_child_weight': 3, 'gamma': 2.886678817016311, 'subsample': 0.9750115721147076, 'colsample_bytree': 0.6990982542465295, 'learning_rate': 0.04587946229016445, 'n_estimators': 300, 'reg_alpha': 4.678878354577765, 'reg_lambda': 7.162385396935466, 'max_delta_step': 3}"
xgb,target_non_gov_investment,0.9445684069548801,0.012384596675367064,"[0.9430048461085554, 0.9636121301526298, 0.9463045995975595, 0.9353419989904088, 0.9408884401817265, 0.9547513881877839, 0.9225391216557295, 0.940005047955578, 0.96386925795053, 0.9353672387682989]",0.31001939165263537,0.06971702681791433,"[0.280722975710624, 0.32736558481400285, 0.2587237520099133, 0.23449879987176872, 0.2773245120087798, 0.2945720713286662, 0.25774289043763726, 0.3632269906848804, 0.489453481101798, 0.3165628585582828]",0.6366167169358559,0.029999658903709387,"[0.6731474357045526, 0.6722944303005941, 0.5848117024587612, 0.6093118608729609, 0.6529517710626376, 0.608848092631719, 0.6248977505112474, 0.6778333620838365, 0.6346897563954805, 0.6273810073367692]","{'max_depth': 7, 'min_child_weight': 9, 'gamma': 2.314660507009539, 'subsample': 0.5228204381100776, 'colsample_bytree': 0.5185211601471804, 'learning_rate': 0.04099329908155322, 'n_estimators': 400, 'reg_alpha': 2.2620255663123165, 'reg_lambda': 6.905722056542174, 'max_delta_step': 2}"
xgb,target_inno_subsidy,0.8855935405198061,0.01564219852588623,"[0.9098062530600826, 0.8763901517800937, 0.8583968664754844, 0.8825165386417466, 0.8876146098857878, 0.9038931898193323, 0.8803887601714259, 0.8996419314210551, 0.8651031435240311, 0.8921839604190218]",0.2020001460244206,0.03266885343312118,"[0.22668034567632528, 0.1858432253903118, 0.18046455000412334, 0.23306767104708345, 0.19274968561393285, 0.24443150625718407, 0.23755733292528783, 0.13675786335441834, 0.17206315384846507, 0.21038612612707383]",0.6208973039054257,0.01610438147195081,"[0.6153598942768326, 0.6139713161568727, 0.6151115618661257, 0.6468440011584968, 0.6092041698449021, 0.6339995158296796, 0.6258392220398377, 0.5862860553225729, 0.6369233128246411, 0.6254339897342951]","{'max_depth': 10, 'min_child_weight': 7, 'gamma': 3.6824825268672203, 'subsample': 0.7851418340099717, 'colsample_bytree': 0.5898303732706895, 'learning_rate': 0.03303384118690038, 'n_estimators': 400, 'reg_alpha': 3.691000815275646, 'reg_lambda': 5.338868089597718, 'max_delta_step': 0}"
