model,target,mean_roc_auc,std_roc_auc,all_roc_auc,mean_pr_auc,std_pr_auc,all_pr_auc,mean_f1_macro,std_f1_macro,all_f1_macro,best_params
xgb,target_inv_exit,0.705245407281466,0.025820448084120803,"[0.6940436907864566, 0.7236272524915829, 0.7396289953324934, 0.6942605640051822, 0.7032051395815216, 0.6439539815784336, 0.7297793138942622, 0.6997865902355049, 0.7264827763678635, 0.6976857685413597]",0.07448474513630679,0.012797483691012175,"[0.06822157860885213, 0.0858978668698263, 0.09836874874078959, 0.08802505297738927, 0.06402378073076537, 0.05645225653271574, 0.06911432540375782, 0.06335040178950797, 0.08357480731664896, 0.06781863239281467]",0.48361837490800774,0.02349853696593343,"[0.460304396921393, 0.5273750906303263, 0.46943324874359355, 0.48093028711025826, 0.466368061140252, 0.530227607801289, 0.4739096814104547, 0.4844381806722113, 0.47240550547702265, 0.4707916891732763]","{'max_depth': 10, 'min_child_weight': 9, 'gamma': 3.7948340190697922, 'subsample': 0.9361347781423482, 'colsample_bytree': 0.5566838448371075, 'learning_rate': 0.017473501711514558, 'n_estimators': 300, 'reg_alpha': 4.667547330857601, 'reg_lambda': 8.067645455889052, 'max_delta_step': 5}"
xgb,target_acquisition,0.803405009944045,0.06181769350967422,"[0.9112155388471177, 0.7708020050125313, 0.7536131996658312, 0.8509398496240601, 0.7593776106934003, 0.745820236419384, 0.8238810575235744, 0.7224868388067185, 0.800007713519872, 0.8959060493279597]",0.05228377614715285,0.03564954359284546,"[0.03467718575393677, 0.010557328845439026, 0.023461177847375673, 0.12369270997649257, 0.03560048037292428, 0.0901345990495872, 0.09172923480887069, 0.02700798988871177, 0.061005229746062144, 0.02497182518212834]",0.5004075609897879,0.030969408248784067,"[0.49918658490802154, 0.4989984977466199, 0.49881026925485283, 0.5585217870932156, 0.49912390488110137, 0.5369574020865071, 0.5078001836840634, 0.49912390488110137, 0.46453420647954535, 0.4410188688828504]","{'max_depth': 9, 'min_child_weight': 9, 'gamma': 1.8425576930894831, 'subsample': 0.9765219503538091, 'colsample_bytree': 0.7865994297862513, 'learning_rate': 0.07198231725302941, 'n_estimators': 350, 'reg_alpha': 4.627393228314895, 'reg_lambda': 4.229046164691767, 'max_delta_step': 8}"
xgb,target_non_gov_investment,0.9443620493857325,0.011756324907707467,"[0.9452111518727718, 0.9641944395918657, 0.9437618483795622, 0.9302435638566381, 0.9310196870267542, 0.9499369005552751, 0.9377145381120646, 0.9349192327107522, 0.9652637556789501, 0.9413553760726905]",0.29975993390824124,0.08070838975750101,"[0.24656405623718747, 0.3260541846199223, 0.1980290235982385, 0.2972696403270324, 0.2334606867726345, 0.28742632961932935, 0.28105348804818, 0.3263102872135363, 0.5131327469301614, 0.28829889571619044]",0.6301845088245537,0.03936775433346773,"[0.588706835799859, 0.6790667139670773, 0.5890989629933849, 0.6168539106308981, 0.573836375791016, 0.615070549504054, 0.6732013458322633, 0.6943269039819021, 0.6425633118117339, 0.629120177933348]","{'max_depth': 10, 'min_child_weight': 8, 'gamma': 4.609782020004665, 'subsample': 0.6761058713935939, 'colsample_bytree': 0.5323512224267972, 'learning_rate': 0.02676372854575436, 'n_estimators': 300, 'reg_alpha': 4.231245765571297, 'reg_lambda': 5.192754107414082, 'max_delta_step': 8}"
xgb,target_inno_subsidy,0.8830945383189901,0.01843707058551464,"[0.9081232076659438, 0.8821037630272085, 0.8508646918934042, 0.8929319067904075, 0.8791980639365191, 0.9002523244367835, 0.8785102971582336, 0.8905032303545867, 0.8508448785017001, 0.897613019425113]",0.20216034262061983,0.042597413184024595,"[0.2314432495840309, 0.21516383471964728, 0.16490456471640122, 0.23096272641490082, 0.1971877168115151, 0.2642341409913112, 0.23896942589493866, 0.11662189388012582, 0.1540301268704015, 0.20808574632292556]",0.6160667613003337,0.02470986103916494,"[0.6383520751364387, 0.6061493883846321, 0.6119481586979361, 0.6464164546225615, 0.6291764858722846, 0.6270428262803406, 0.6238590263691683, 0.55125603602626, 0.6119738495643947, 0.6144933120493202]","{'max_depth': 10, 'min_child_weight': 6, 'gamma': 2.3523938333180032, 'subsample': 0.7501382148012378, 'colsample_bytree': 0.5876744862050816, 'learning_rate': 0.047540743923227505, 'n_estimators': 300, 'reg_alpha': 4.198385479805683, 'reg_lambda': 5.3701550879960465, 'max_delta_step': 2}"
