uid,founding_name,section_1_label,company_url,founding_doc2vec_diff,founding_vp,founding_vp_w,founding_vp_w_red
CHE159963031,Cadinental AG ( Cadinental SA ) ( Cadinental Ltd ),G,http://www.cadinental.ch/,0.3809348702430725,0.1219424724578857,0.848435690999031,0.7902580201625824
CHE284245169,CHEMEX S.A.,G,http://www.chemex.ch/,0.596153175830841,0.0809617400169372,0.8254853755235672,0.7813738971948624
CHE363659695,böörds AG,M,http://boeoerds.ch/,0.535602194070816,0.0713213682174682,0.8336148589849472,0.7808118969202041
CHE176071725,Swiss Prime Concepts AG,M,http://www.swissprimeconcepts.ch/,0.5858008086681366,0.0879060745239257,0.8371814846992492,0.7804371267557144
CHE167010908,brandSTiFT GmbH,M,http://www.biedermannundbrandstift.com/,0.1354042410850525,0.1032902240753173,0.8456566065549851,0.779588320851326
CHE343368556,O'Belmont SA,L,http://www.obelmont.ch/,0.3143196225166321,0.12074556350708,0.8188433408737182,0.779475313425064
CHE344835603,MANUFACTURE ROGER DUBUIS MEYRIN SA,M,http://www.rogerdubuis.com/,0.5768862426280975,0.1100401401519775,0.8406645804643631,0.7791299819946289
CHE319830608,DMK GmbH ( DMK Sàrl ) ( DMK Sagl ) ( DMK Ltd liab Co ),M,http://dmk.de/,0.561556613445282,0.0831133961677551,0.7890373468399048,0.7787534445524216
CHE292141939,oppIT GmbH,J,http://www.opitz-gmbh.de/,0.6266650915145874,0.068135380744934,0.8435153514146805,0.7786898910999298
CHE444396403,SUC GmbH,Q,http://www.suc-gmbh.de/,0.6233124315738678,0.0739460110664367,0.8431664764881134,0.778664430975914
CHE428879347,Mimoza 's Coiffeur GmbH,S,http://salons.wella.com/,0.1976133942604065,0.1073498964309692,0.8520271509885788,0.7783040523529052
