target,score,valid_folds,roc_aucs,mean_roc_auc,std_roc_auc,pr_aucs,mean_pr_auc,std_pr_auc
is_green,founding_pr_sdg_similarity,7,"[0.7300998976314024, 0.7457123694548242, 0.7027125156956777, 0.715581710816276, 0.7286980025516507, 0.6895998385224806, 0.7332038149063934]",0.7208011642255293,0.017933149725520625,"[0.21772285826955762, 0.24652716964287133, 0.1916000885805346, 0.22438925645430075, 0.19984392340582288, 0.1925445166006815, 0.24169512168034327]",0.21633184780487316,0.02094638924893906
is_green,founding_pr_w_sdg_similarity,8,"[0.7368774047795545, 0.7313303379172276, 0.7036857737906134, 0.7411839457799427, 0.7393786276556582, 0.7804630815194195, 0.7544532472119898, 0.7077862441338245]",0.7368948328485289,0.02294605462176966,"[0.25935085382432155, 0.2592552523859612, 0.19441331711418028, 0.2602308670334708, 0.2293254497644584, 0.2497060335404108, 0.27002937784120873, 0.2022767067350017]",0.24057348227987668,0.026839770789675983
is_green,founding_pr_w_red_sdg_similarity,8,"[0.7575679641760338, 0.7544363927928472, 0.7328532599103392, 0.7477698269819417, 0.767935936420528, 0.7935974432453305, 0.7231367008124338, 0.7616793662007367]",0.7548721113175239,0.020206804520862858,"[0.28449570309353406, 0.2641375691471097, 0.22633444510713818, 0.25809857117624824, 0.2891808464952236, 0.3080397424350812, 0.1961436957912445, 0.2797851930556475]",0.2632769707876534,0.03408932342541763
is_green,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,8,"[0.7567359041466846, 0.731859830663177, 0.7399535054941176, 0.747840426014735, 0.7680922628502846, 0.7936889010832673, 0.7235303022657315, 0.761341272644699]",0.7528803006453371,0.020853609764524297,"[0.2816669139215624, 0.22494787388606838, 0.2763112148166386, 0.2577334496495879, 0.29001538016013095, 0.307143456135586, 0.19636037365524556, 0.2792641863690876]",0.2641803560742384,0.03423089994497931
is_green,current_pr_sdg_similarity,6,"[0.6746186699206834, 0.7264236322961156, 0.6822401871059589, 0.7632079695545109, 0.7671128681034658, 0.6772874819382542]",0.7151484681531648,0.039362032567362225,"[0.15319334169112647, 0.20791431184669634, 0.1699872694206788, 0.2517157083152528, 0.24414074988700724, 0.21568888997043623]",0.2071067118551996,0.03587081689005795
is_green,current_pr_w_sdg_similarity,7,"[0.7281675818588571, 0.6855958918039455, 0.7207466281553447, 0.7776878930337627, 0.7707659197753222, 0.7288194232452122, 0.675766225044264]",0.7267927947023869,0.03559172410874283,"[0.1991151832348003, 0.18198867227516743, 0.21465573586102238, 0.2666099578726175, 0.2550857699127334, 0.21984422904859033, 0.2216540433351079]",0.22270765593429132,0.027424018431446956
is_green,current_pr_w_red_sdg_similarity,7,"[0.692531014846451, 0.7432682529997966, 0.7031523286556842, 0.7323404212344158, 0.7777692980849462, 0.7672705903901337, 0.7138459816431609]",0.7328825554077983,0.02971300242353712,"[0.17794311682139557, 0.20992921583926627, 0.19697504965890733, 0.21776792547053397, 0.28141928289484214, 0.235780605474856, 0.2048465134895061]",0.21780881566418678,0.030758756159981897
is_green,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,6,"[0.7404718324181411, 0.7034014643075046, 0.7764769928974092, 0.7676063862262653, 0.7405366627999266, 0.7084783360807538]",0.7394952791216669,0.02715613453158611,"[0.20880667760273114, 0.19641955454253518, 0.2823942547462408, 0.2352926950277788, 0.23496982292399898, 0.2540404409178166]",0.2353205742935169,0.028233445465054786
