target,score,coef_name,coef,std_err,pval,pseudo_r2,n_obs
is_green,founding_pr_sdg_similarity,founding_pr_sdg_similarity,0.40539536753686095,0.0420074939756832,4.8893396282142485e-22,0.11535843844086491,16236
is_green,founding_pr_w_sdg_similarity,founding_pr_w_sdg_similarity,0.4336247676055998,0.030608091230533048,1.4663619172725383e-45,0.12682313849070792,16236
is_green,founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.5877932138793316,0.030134098668806272,9.778854290645958e-85,0.14799514433389171,16236
is_green,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,-0.023484090407040848,0.032493455162100324,0.4698439735238955,0.1480545075991202,16236
is_green,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.5892781547486529,0.030182934950021063,6.9249903083235e-85,0.1480545075991202,16236
is_green,current_pr_sdg_similarity,current_pr_sdg_similarity,0.3760156097799774,0.1369958357613728,0.006056200784832274,0.10401772071251447,16214
is_green,current_pr_w_sdg_similarity,current_pr_w_sdg_similarity,0.2918689738284041,0.030319756326876335,6.18811440612195e-22,0.10961435075572867,16214
is_green,current_pr_w_red_sdg_similarity,current_pr_w_red_sdg_similarity,0.4231132611515305,0.03033406160380797,3.2149923879180135e-44,0.12086583828965658,16214
is_green,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,current_core_diff_w_red_pca,0.03243200821854303,0.03392080799221148,0.3390168940987658,0.12097581300152083,16214
is_green,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,current_pr_w_red_sdg_similarity,0.4220628416551501,0.030311560856264325,4.518600655838994e-44,0.12097581300152083,16214
