model,target,mean_roc_auc,std_roc_auc,all_roc_auc,mean_pr_auc,std_pr_auc,all_pr_auc,mean_f1_macro,std_f1_macro,all_f1_macro,best_params
xgb,target_inv_exit,0.6718765291231407,0.026294898840853634,"[0.6602447462050796, 0.6641239981779457, 0.7100163738658328, 0.6351816514213254, 0.6390572100409962, 0.6775456436899061, 0.6914787035616926, 0.66436278899482, 0.6581846202559827, 0.7185695550178252]",0.11057947376731178,0.015444600487762155,"[0.10173343505834286, 0.09163401661538097, 0.12349555831069728, 0.11365018609009718, 0.09009723039371571, 0.11946084520894865, 0.11007147712185551, 0.09904320858941401, 0.11230705079356429, 0.1443017294911015]",0.47415256609106937,0.01829124443074318,"[0.4639984040383774, 0.46552005512698386, 0.498730392918155, 0.4608089289761672, 0.44538427561837457, 0.4580127332974377, 0.4773657065737036, 0.47339866964126714, 0.5034472695968732, 0.4948592251233538]","{'max_depth': 4, 'min_child_weight': 2, 'gamma': 1.500738960051813, 'subsample': 0.829829131483575, 'colsample_bytree': 0.5499895840529023, 'learning_rate': 0.009550090256350233, 'n_estimators': 300, 'reg_alpha': 1.2762123114321156, 'reg_lambda': 2.4791452274562666, 'max_delta_step': 1}"
xgb,target_acquisition,0.8248334663453194,0.0461840776629423,"[0.8633962264150943, 0.7773584905660378, 0.8471278825995807, 0.8901607267645004, 0.8294898672257163, 0.8017190775681342, 0.8857861635220126, 0.8326674065852756, 0.7694265630780615, 0.7512022591287816]",0.06652858942519482,0.053113471343919146,"[0.1417595025469791, 0.09089519944347775, 0.17906359300983282, 0.041764636726628376, 0.05197423283201625, 0.01916401919096684, 0.029089268595823795, 0.07577428149017652, 0.019878216164302027, 0.01592294425174456]",0.5316454549521199,0.031513014399159385,"[0.5385554578570532, 0.546426329477177, 0.5897790055248618, 0.5283540802213001, 0.546426329477177, 0.498051539912005, 0.4986184375784979, 0.5726288057568691, 0.49880728185812934, 0.49880728185812934]","{'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.14683939238007238, 'subsample': 0.926351026658027, 'colsample_bytree': 0.6030860645287468, 'learning_rate': 0.01447184215521407, 'n_estimators': 400, 'reg_alpha': 0.7789251096972922, 'reg_lambda': 5.805120268891319, 'max_delta_step': 2}"
xgb,target_non_gov_investment,0.9369245567570175,0.010161919749595972,"[0.9512065149072227, 0.9279507009537343, 0.9295029609421785, 0.9382327500166345, 0.9290305409541553, 0.9564375540621465, 0.9242286534321933, 0.9449209006731131, 0.9323743465336386, 0.9353606450951584]",0.28493200713903905,0.09276268873369849,"[0.220424429039144, 0.2447325162536824, 0.20941351301400293, 0.19696322072640451, 0.34874273696243485, 0.31599130847571394, 0.25072982049568227, 0.5243298829996704, 0.23154720252650238, 0.3064454408971531]",0.6521718072209853,0.02168918791605382,"[0.6464200618759783, 0.6446605644546148, 0.626266640174846, 0.6257373812716256, 0.6691487187418869, 0.6722848956934372, 0.6549931786333809, 0.6996407275736884, 0.636100959140948, 0.6464649446494465]","{'max_depth': 10, 'min_child_weight': 7, 'gamma': 4.424844304631612, 'subsample': 0.9690568451641872, 'colsample_bytree': 0.5256504085862858, 'learning_rate': 0.02566390703889356, 'n_estimators': 400, 'reg_alpha': 3.531208698662682, 'reg_lambda': 5.629856463587828, 'max_delta_step': 1}"
xgb,target_inno_subsidy,0.8643200108674932,0.01894147332289942,"[0.8673666342102316, 0.8893178116894866, 0.8329477074328333, 0.8731714552080685, 0.8629248241376387, 0.8771039918637172, 0.8604722319185337, 0.8300215042642224, 0.8873676453477097, 0.8625063026024901]",0.1822842311950288,0.038322610534145964,"[0.20655476138239304, 0.23291291314267665, 0.12367483139357216, 0.15792527440143247, 0.24277445152087332, 0.18478596009595133, 0.16980508788583895, 0.16030172684845553, 0.13337634794915976, 0.21073095732993471]",0.6072968212218155,0.019836804793675472,"[0.6010342685857795, 0.631357476397102, 0.5792793064001445, 0.60843870651973, 0.6242947053659778, 0.6074032263937948, 0.6035201962189845, 0.5948509763617678, 0.5794659859811191, 0.643323363993755]","{'max_depth': 8, 'min_child_weight': 9, 'gamma': 1.3525763361139413, 'subsample': 0.7311516860508696, 'colsample_bytree': 0.5961151122943833, 'learning_rate': 0.026659840939338698, 'n_estimators': 350, 'reg_alpha': 2.306014617545381, 'reg_lambda': 8.403032709877593, 'max_delta_step': 8}"
