founding_date,symbol,Open
2016-01-01,EUR,1.0873700380325317
2016-01-02,EUR,1.0873700380325317
2016-01-03,EUR,1.0873700380325317
2016-01-04,EUR,1.0845999717712402
2016-01-05,EUR,1.0852700471878052
2016-01-06,EUR,1.084280014038086
2016-01-07,EUR,1.0856000185012817
2016-01-08,EUR,1.0857000350952148
2016-01-09,EUR,1.0857000350952148
2016-01-10,EUR,1.0857000350952148
2016-01-11,EUR,1.0852999687194824
2016-01-12,EUR,1.0872999429702759
2016-01-13,EUR,1.0875999927520752
2016-01-14,EUR,1.0950000286102295
2016-01-15,EUR,1.0915299654006958
2016-01-16,EUR,1.0915299654006958
2016-01-17,EUR,1.0915299654006958
2016-01-18,EUR,1.0937700271606445
2016-01-19,EUR,1.094599962234497
2016-01-20,EUR,1.0946999788284302
2016-01-21,EUR,1.093809962272644
2016-01-22,EUR,1.0944900512695312
2016-01-23,EUR,1.0944900512695312
2016-01-24,EUR,1.0944900512695312
2016-01-25,EUR,1.0972900390625
2016-01-26,EUR,1.0987999439239502
2016-01-27,EUR,1.104599952697754
2016-01-28,EUR,1.1059000492095947
2016-01-29,EUR,1.1087000370025635
2016-01-30,EUR,1.1087000370025635
2016-01-31,EUR,1.1087000370025635
2016-02-01,EUR,1.108989953994751
2016-02-02,EUR,1.1108700037002563
2016-02-03,EUR,1.1123000383377075
2016-02-04,EUR,1.1151299476623535
2016-02-05,EUR,1.1123000383377075
2016-02-06,EUR,1.1123000383377075
2016-02-07,EUR,1.1123000383377075
2016-02-08,EUR,1.1064000129699707
2016-02-09,EUR,1.1045700311660767
2016-02-10,EUR,1.0981999635696411
2016-02-11,EUR,1.0979000329971313
2016-02-12,EUR,1.1002299785614014
2016-02-13,EUR,1.1002299785614014
2016-02-14,EUR,1.1002299785614014
2016-02-15,EUR,1.0978000164031982
2016-02-16,EUR,1.1018999814987183
2016-02-17,EUR,1.101199984550476
2016-02-18,EUR,1.1039999723434448
2016-02-19,EUR,1.1030999422073364
2016-02-20,EUR,1.1030999422073364
2016-02-21,EUR,1.1030999422073364
2016-02-22,EUR,1.101699948310852
2016-02-23,EUR,1.1025199890136719
2016-02-24,EUR,1.0928599834442139
