model,target,mean_roc_auc,std_roc_auc,all_roc_auc,mean_pr_auc,std_pr_auc,all_pr_auc,mean_f1_macro,std_f1_macro,all_f1_macro,best_params
xgb,target_inv_exit,0.668959145980485,0.02525494396254904,"[0.6556169746512859, 0.6619523064990704, 0.6998744259913576, 0.6296600883942531, 0.6405006955815185, 0.6745700321321727, 0.6881948120698783, 0.662923690030328, 0.6592829613651093, 0.717015473089877]",0.10991267003816105,0.01482592369594242,"[0.10024625130181519, 0.09390712551712385, 0.13001999204649367, 0.10849219673672247, 0.08923405591917973, 0.11748874256688818, 0.10548389539692801, 0.10378091051593434, 0.11056927351537019, 0.13990425686515492]",0.4664922629615827,0.0135650722476565,"[0.4581299815349939, 0.47097432592115157, 0.48066956165482866, 0.45348416061878283, 0.44275746987503367, 0.45827686635944703, 0.4728822803341275, 0.48061794063567115, 0.45927095563406206, 0.487859087047728]","{'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.31480729822680076, 'subsample': 0.838825732530559, 'colsample_bytree': 0.5390130054558919, 'learning_rate': 0.015197864752065565, 'n_estimators': 200, 'reg_alpha': 2.4291781778970654, 'reg_lambda': 5.684520645018545, 'max_delta_step': 6}"
xgb,target_acquisition,0.8066552406898385,0.03837036567209175,"[0.8555555555555556, 0.7678127183787561, 0.800754716981132, 0.8559049615653389, 0.8261215932914047, 0.7580013976240392, 0.8613392526822049, 0.7920532741398445, 0.7613614502404735, 0.7876474864396354]",0.07272064247050883,0.06156087604027475,"[0.1577978640345184, 0.07730668339818458, 0.20629172414961652, 0.05812542163727058, 0.020911030481578722, 0.021413255499050467, 0.053198283122437434, 0.098273293493747, 0.0193192766761017, 0.01456959221258283]",0.5321015019700945,0.03727991525109767,"[0.5369540007730963, 0.5402851042451645, 0.5941709263743162, 0.5315736551030669, 0.5065122061987686, 0.49842984549679686, 0.5106595411938923, 0.6057602528190763, 0.4980510499182698, 0.4986184375784979]","{'max_depth': 10, 'min_child_weight': 3, 'gamma': 2.1713044334111014, 'subsample': 0.8520750233822831, 'colsample_bytree': 0.6470687278716872, 'learning_rate': 0.03576318516563777, 'n_estimators': 400, 'reg_alpha': 4.053668079938605, 'reg_lambda': 4.286274477305152, 'max_delta_step': 8}"
xgb,target_non_gov_investment,0.9174485679174917,0.016992445259108882,"[0.9545268220697948, 0.9176276883556964, 0.9000731918291304, 0.9001796526715018, 0.9234546543349524, 0.9322642890411871, 0.9007072812382548, 0.9204018177469505, 0.8999487477363584, 0.9253015341510916]",0.25011727792439287,0.07861641534204616,"[0.22371014653393254, 0.2351520992248178, 0.17771475662817374, 0.1890772196617015, 0.39513524982370196, 0.24909243982840196, 0.19525790956391642, 0.3997048335780167, 0.17658982085241895, 0.25973830354884747]",0.6298342384051043,0.04405741763500863,"[0.6464200618759783, 0.6313730397748254, 0.6151813340096373, 0.6203938801909477, 0.6963882904574832, 0.5527652134366393, 0.6484199232980248, 0.6999214131957495, 0.5764636910126616, 0.6110155367990968]","{'max_depth': 10, 'min_child_weight': 7, 'gamma': 3.6957291907515684, 'subsample': 0.8454437453891409, 'colsample_bytree': 0.5815877520874128, 'learning_rate': 0.03459275187638876, 'n_estimators': 400, 'reg_alpha': 3.670050268668665, 'reg_lambda': 8.568348946736176, 'max_delta_step': 0}"
xgb,target_inno_subsidy,0.8574718763056832,0.019206812791814604,"[0.8619854721549637, 0.8931307247550688, 0.824141876430206, 0.8593736757352318, 0.8459191456903127, 0.8676370878888041, 0.8514956021840403, 0.8312324658366623, 0.8724094687714127, 0.8673932436101307]",0.15437729122909943,0.024070943840420887,"[0.18765788821160134, 0.17950423469725452, 0.10123761951206708, 0.13806370166192258, 0.15705825896452005, 0.1558090465461225, 0.14327365930888178, 0.15459814731266333, 0.14492889559779237, 0.18164146047816881]",0.5955788270595306,0.010995534796123037,"[0.5977764090992816, 0.5950263459258687, 0.5775537880026546, 0.6044240648749628, 0.5848658380420679, 0.6030034016427446, 0.6101509881278568, 0.6044223609518551, 0.6007063725287309, 0.5778587013992836]","{'max_depth': 9, 'min_child_weight': 1, 'gamma': 2.0984687403799316, 'subsample': 0.8926457479805121, 'colsample_bytree': 0.7230564039115599, 'learning_rate': 0.025878456739721268, 'n_estimators': 400, 'reg_alpha': 3.192535238648849, 'reg_lambda': 8.091884306419425, 'max_delta_step': 0}"
