date,firm_name,amount_chf,type,location,firm_name_norm,firm_name_clean,ehraid,uid,legal_seat
2020-12-01,Klepsydra Technologies AG,200'000,Grant,Volketswil,klepsydra technologies ag,klepsydra technologies ag,1375464.0,CHE466604248,Zug
2020-12-01,PB&B SA,395'000,Loan,Lausanne,pb&b sa,pb&b sa,1164831.0,CHE180364998,Lausanne
2020-12-01,Neocarbons SA,380'000,Grant,Fällanden,neocarbons sa,neocarbons sa,1391697.0,CHE310635199,Montreux
2020-12-03,Isochronic AG,50'000,Award,Denges,isochronic ag,isochronic ag,1452214.0,CHE218280886,Denges
2020-12-03,Synthara AG,Undisclosed,Equity,Zürich,synthara ag,synthara ag,1392956.0,CHE165140121,Zürich
2020-12-03,Aero41 SA,330'000,Grant,Molondin,aero41 sa,aero41 sa,1370958.0,CHE312412919,Molondin
2020-12-03,Lymphatica Medtech SA,Undisclosed,Equity,Lausanne,lymphatica medtech sa,lymphatica medtech sa,1314128.0,CHE250589429,Ecublens (VD)
2020-12-03,ANYbotics AG,20'000'000,Equity,Zürich,anybotics ag,anybotics ag,1276945.0,CHE193138454,Zürich
2020-12-07,HekeTiss SA,10'000,Grant,Plan-les-Ouates,heketiss sa,heketiss sa,1513198.0,CHE488565326,Plan-les-Ouates
2020-12-07,HeiQ Materials AG,71'000'000,Equity,Schlieren,heiq materials ag,heiq materials ag,786293.0,CHE112274504,Schlieren
2020-12-08,Nezasa AG,5'100'000,Equity,Zürich,nezasa ag,nezasa ag,1109049.0,CHE498003739,Zürich
2020-12-09,Hydromea SA,Undisclosed,Grant,1020 Renens,hydromea sa,hydromea sa,1203968.0,CHE475622854,Renens (VD)
2020-12-09,Urban Connect AG,2'500'000,Equity,Zürich,urban connect ag,urban connect ag,1134858.0,CHE441864827,Zürich
2020-12-10,Roivant Sciences GmbH,200'000'000,Equity,Basel,roivant sciences gmbh,roivant sciences gmbh,1274441.0,CHE289087624,Basel
2020-12-10,Rheon Medical SA,5'600'000,Equity,Lausanne,rheon medical sa,rheon medical sa,976184.0,CHE115543600,Préverenges
2020-12-10,WYTH SA,10'000,Award,Lugano,wyth sa,wyth sa,1439171.0,CHE290639720,Lugano
2020-12-11,ARMA Instruments AG,15'000,Grant,Baar,arma instruments ag,arma instruments ag,1123572.0,CHE170945461,Baar
2020-12-11,Neural Concept SA,Undisclosed,Grant,Lausanne,neural concept sa,neural concept sa,1352615.0,CHE213105804,Ecublens (VD)
2020-12-13,Yasai AG,1'600'000,Equity,Zurich,yasai ag,yasai ag,1422566.0,CHE461377370,Zürich
2020-12-14,Animatico AG,Undisclosed,Equity,Zürich,animatico ag,animatico ag,1377820.0,CHE448250247,Zürich
2020-12-15,Nostic Solutions AG,10'000,Grant,Freienbach,nostic solutions ag,nostic solutions ag,1409445.0,CHE425076702,Freienbach
2020-12-15,aiEndoscopic AG,10'000,Grant,Zürich,aiendoscopic ag,aiendoscopic ag,1477487.0,CHE403121783,Zürich
2020-12-15,AgroScience Capital AG,2'200'000,Equity,Cham,agroscience capital ag,agroscience capital ag,1251841.0,CHE268532794,Cham
2020-12-15,Eturnity AG,Undisclosed,Equity,Chur,eturnity ag,eturnity ag,1098523.0,CHE226940207,Chur
2020-12-16,AICA SA,40'000,Convertible loan,Prilly,aica sa,aica sa,1387844.0,CHE307495118,Prilly
2020-12-16,DePoly SA,1'300'000,Equity,Sion,depoly sa,depoly sa,1425452.0,CHE194663705,Sion
2020-12-16,MaxWell Biosystems AG,4'000'000,Equity,Zurich,maxwell biosystems ag,maxwell biosystems ag,1275751.0,CHE178600178,Zürich
2020-12-16,MeduSoil SA,2'000'000,Equity,Ecublens,medusoil sa,medusoil sa,1346745.0,CHE190798312,Ecublens (VD)
2020-12-17,OnlineDoctor AG,5'500'000,Equity,St. Gallen,onlinedoctor ag,onlinedoctor ag,1288978.0,CHE288196802,St. Gallen
2020-12-17,Cyltronic AG,200'000,Grant,Winterthur,cyltronic ag,cyltronic ag,1454800.0,CHE490487322,Winterthur
2020-12-17,Selma Finance AG,Undisclosed,Equity,Arth,selma finance ag,selma finance ag,1284022.0,CHE271699590,Zürich
2020-12-17,Gilytics AG,1'000'000,Equity,Zurich,gilytics ag,gilytics ag,1302506.0,CHE326677743,Zürich
2020-12-18,Flyability SA,7'000'000,Equity,Paudex,flyability sa,flyability sa,1195530.0,CHE348376646,Ecublens (VD)
2020-12-18,Droople SA,15'000,Award,Puidoux,droople sa,droople sa,1347662.0,CHE409127471,Puidoux
2020-12-21,Logmind SA,200'000,Grant,Lausanne,logmind sa,logmind sa,1372386.0,CHE152560583,Ecublens (VD)
2020-12-22,Exploris Health AG,2'800'000,Equity,Wallisellen,exploris health ag,exploris health ag,1366269.0,CHE195508148,Wallisellen
2020-12-23,LIBREC AG,400'000,Grant,Biberist,librec ag,librec ag,1471718.0,CHE294128045,Biberist
2020-12-23,Microcaps AG,5'000'000,Equity,Schlieren,microcaps ag,microcaps ag,1386837.0,CHE208681284,Schlieren
2020-12-29,GuestReady AG,2'400'000,Convertible loan,Trogen,guestready ag,guestready ag,1264310.0,CHE200707566,Trogen
2020-12-31,SYNHELION SA,15'000'000,Equity,8008 Zürich,synhelion sa,synhelion sa,1264237.0,CHE381089666,Lugano
2020-12-31,OptiChroniX GmbH,30'000,Convertible loan,Schoenenbuch,optichronix gmbh,optichronix gmbh,1436649.0,CHE217717024,Schönenbuch
2020-12-31,SurgeonsLab AG,Undisclosed,Revenue,Bern,surgeonslab ag,surgeonslab ag,1478561.0,CHE483657895,Bern
2020-12-31,NXI Therapeutics AG,50'000,Grant,Basel,nxi therapeutics ag,nxi therapeutics ag,1486330.0,CHE267247256,Basel
2020-12-31,IRISgo AG,200'000,Revenue,Horw,irisgo ag,irisgo ag,1429945.0,CHE273285319,Horw
2021-01-01,Resilient SA,Undisclosed,Equity,Lausanne,resilient sa,resilient sa,1296008.0,CHE343059581,Lausanne
2021-01-01,Synendos Therapeutics AG,930'000,Grant,Basel,synendos therapeutics ag,synendos therapeutics ag,1391442.0,CHE145781587,Basel
2021-01-01,ARMA Instruments AG,Undisclosed,Equity,Baar,arma instruments ag,arma instruments ag,1123572.0,CHE170945461,Baar
2021-01-01,OxyPrem AG,100'000,Convertible loan,Zürich,oxyprem ag,oxyprem ag,1364086.0,CHE179226970,Zürich
2021-01-01,Hemetron AG,125'000,Grant,Thalwil,hemetron ag,hemetron ag,1509017.0,CHE431378471,Thalwil
2021-01-01,4QT Holding AG,650'000,Grant,Zürich,4qt holding ag,4qt holding ag,1551480.0,CHE340985988,Zürich
2021-01-01,QIO Quantitative Investment Office AG,Undisclosed,Equity,Kilchberg,qio quantitative investment office ag,qio quantitative investment office ag,1446673.0,CHE341726171,Kilchberg (ZH)
2021-01-01,Rapid medicine GmbH,340'000,Grant,Zürich,rapid medicine gmbh,rapid medicine gmbh,1581466.0,CHE352926509,Zürich
2021-01-03,SurgeonsLab AG,50'000,Grant,Bern,surgeonslab ag,surgeonslab ag,1478561.0,CHE483657895,Bern
2021-01-04,heyPatient AG,Undisclosed,Equity,Winterthur,heypatient ag,heypatient ag,1409340.0,CHE326934294,Winterthur
2021-01-05,MATIS SA,10'000,Grant,Genève,matis sa,matis sa,1546204.0,CHE214068867,Neuchâtel
2021-01-05,Oncobit AG,10'000,Grant,Schlieren,oncobit ag,oncobit ag,1347031.0,CHE193564727,Schlieren
2021-01-05,Magma Learning Sàrl,50'000,Loan,1018 Lausanne,magma learning sàrl,magma learning sàrl,1423103.0,CHE437030279,Lausanne
2021-01-06,Kikodo Education Technologies Sàrl,40'000,Convertible loan,Lausanne,kikodo education technologies sàrl,kikodo education technologies sàrl,1490178.0,CHE168582685,Lausanne
2021-01-06,Resmonics AG,Undisclosed,Equity,Zürich,resmonics ag,resmonics ag,1458593.0,CHE202528017,Zürich
2021-01-06,Perovskia Solar AG,40'000,Convertible loan,Aubonne,perovskia solar ag,perovskia solar ag,1510146.0,CHE231549406,Aubonne
2021-01-08,Floating Robotics AG,10'000,Grant,Schlieren,floating robotics ag,floating robotics ag,1589427.0,CHE388582726,Schlieren
2021-01-08,LogicFlow AG,Undisclosed,Equity,Zürich,logicflow ag,logicflow ag,1168530.0,CHE445455310,Zürich
2021-01-10,Wepot SA,350'000,Equity,Villeneuve,wepot sa,wepot sa,1445723.0,CHE311372022,Lausanne
2021-01-12,Resmonics AG,Undisclosed,Convertible loan,Zürich,resmonics ag,resmonics ag,1458593.0,CHE202528017,Zürich
2021-01-13,SurgeonsLab AG,100'000,Convertible loan,Bern,surgeonslab ag,surgeonslab ag,1478561.0,CHE483657895,Bern
2021-01-13,Neurosoft Bioelectronics SA,100'000,Convertible loan,Chambésy,neurosoft bioelectronics sa,neurosoft bioelectronics sa,1448139.0,CHE325358554,Pregny-Chambésy
2021-01-14,Nu Glass SA,100'000,Grant,Nyon,nu glass sa,nu glass sa,1538393.0,CHE175619862,Nyon
2021-01-14,SurroundPower GmbH,150'000,Grant,St. Gallen,surroundpower gmbh,surroundpower gmbh,1662920.0,CHE471982905,St. Gallen
2021-01-15,Urban Sympheny AG,100'000,Equity,Dübendorf,urban sympheny ag,urban sympheny ag,1434014.0,CHE401199461,Winterthur
2021-01-19,LatticeFlow AG,2'800'000,Equity,Zürich,latticeflow ag,latticeflow ag,1445537.0,CHE446584588,Zürich
2021-01-19,Versics AG,10'000,Grant,Zürich,versics ag,versics ag,1520088.0,CHE441503631,Zürich
2021-01-19,Sensemodi Sàrl,10'000,Grant,Echandens,sensemodi sàrl,sensemodi sàrl,1549711.0,CHE314528332,Echandens
2021-01-19,Kasparund AG,10'000,Grant,St. Gallen,kasparund ag,kasparund ag,1448915.0,CHE134583557,St. Gallen
2021-01-19,Galventa AG,10'000,Grant,St. Gallen,galventa ag,galventa ag,1344542.0,CHE491842437,St. Gallen
2021-01-19,Spirecut SA,10'000,Grant,4132 Muttenz,spirecut sa,spirecut sa,1435763.0,CHE209831310,Muttenz
2021-01-20,INERGIO Technologies SA,200'000,Grant,Lausanne,inergio technologies sa,inergio technologies sa,1449260.0,CHE139710604,Chexbres
2021-01-20,1plusX GmbH,6'935'000,Equity,Pfäffikon,1plusx gmbh,1plusx gmbh,1204658.0,CHE433787975,Zürich
2021-01-20,Nemosia AG,40'000,Convertible loan,Winterthur,nemosia ag,nemosia ag,1553132.0,CHE152389214,Winterthur
2021-01-20,ArcoScreen SA,40'000,Convertible loan,Lausanne,arcoscreen sa,arcoscreen sa,1496051.0,CHE265506926,Lausanne
2021-01-20,Parithera SA,40'000,Convertible loan,Epalinges,parithera sa,parithera sa,1494356.0,CHE156780764,Epalinges
2021-01-20,Archlet AG,2'500'000,Equity,Zürich,archlet ag,archlet ag,1369741.0,CHE371975365,Zürich
2021-01-21,Facedapter Sàrl,30'000,Convertible loan,Versoix,facedapter sàrl,facedapter sàrl,1427162.0,CHE228290679,Versoix
2021-01-22,Terapet SA,750'000,Grant,Satigny,terapet sa,terapet sa,1402139.0,CHE190210581,Satigny
2021-01-25,NEMATX AG,220'000,Grant,Zürich,nematx ag,nematx ag,1434746.0,CHE375597167,Zürich
2021-01-26,Aioma AG,1'000'000,Equity,Zurich,aioma ag,aioma ag,1175163.0,CHE259462373,Zürich
2021-01-26,SwissDeCode SA,3'300'000,Equity,Lausanne,swissdecode sa,swissdecode sa,1260269.0,CHE347648279,Crissier
2021-01-26,SwissDeCode SA,Undisclosed,Grant,Lausanne,swissdecode sa,swissdecode sa,1260269.0,CHE347648279,Crissier
