target,score,valid_folds,roc_aucs,mean_roc_auc,std_roc_auc,pr_aucs,mean_pr_auc,std_pr_auc
target_inno_subsidy,founding_doc2vec_diff,10,"[0.6446441804731549, 0.5427845841152075, 0.5683144889035271, 0.5578702399577029, 0.6028108464175359, 0.6325831202046036, 0.5828132992327364, 0.5859377664109122, 0.5627450980392157, 0.5705882352941176]",0.5851091859048714,0.031054630597301926,"[0.026183910266186404, 0.01710785840602945, 0.017853216909569165, 0.018382412219239364, 0.023207223679072016, 0.024178429622200924, 0.020441490039897096, 0.02177045153850566, 0.018402740450697966, 0.022155589658939663]",0.020968332279033768,0.002876223179898156
target_inno_subsidy,founding_core_diff_pca+founding_pr_sdg_similarity,10,"[0.6254168354114069, 0.5183429122900743, 0.6270192389185524, 0.5956903127383676, 0.6453597762522247, 0.5782735825069921, 0.596741177433882, 0.5109137373032188, 0.6083767512615978, 0.5572405590246803]",0.5863374883140997,0.04309400690897119,"[0.02429071049827705, 0.017532168095581994, 0.025736749917024095, 0.02273251365634373, 0.03335647794793991, 0.018082434835087334, 0.0250272768547748, 0.016166438210140507, 0.02371133633407144, 0.01686343048861042]",0.022349953683785125,0.005052809632400676
target_inno_subsidy,founding_core_diff_w_pca+founding_pr_w_sdg_similarity,10,"[0.5707780066004327, 0.567186974916633, 0.6442579879650818, 0.6202390033053649, 0.6482540893296043, 0.6293668954996187, 0.6187625782707814, 0.5272466353799015, 0.613211978607782, 0.5595762927337996]",0.5998880442609,0.03865678660870024,"[0.021331040463241836, 0.024777900838436617, 0.025089117260720085, 0.02421981360175248, 0.033193187932479426, 0.02610327895011465, 0.02543486484056725, 0.01580650509064018, 0.022066632183585504, 0.034605907052943675]",0.02526282482144817,0.005170779071158043
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,10,"[0.6009969582863002, 0.5907150181382644, 0.6413636748877023, 0.6548902449360114, 0.6892533265530977, 0.6503220611916264, 0.6135394984636733, 0.5676177670902878, 0.6367546229858607, 0.5849590815653725]",0.6230412254098197,0.035790559408748104,"[0.022067602713750432, 0.02942103599477621, 0.02452695716144128, 0.026456404803505883, 0.03315320002991487, 0.025849977710699065, 0.024431435631488217, 0.018362433206826442, 0.03055562104237773, 0.022062099444240924]",0.02568867677390211,0.004205003170684721
target_inno_subsidy,current_doc2vec_diff,10,"[0.5912154150623683, 0.5878341038079281, 0.5013158010157983, 0.5888077965596189, 0.5561101413170291, 0.6016851025008991, 0.548087290291974, 0.6360417475309441, 0.6038512959848191, 0.5417949713201362]",0.5756743665391516,0.03673881351013102,"[0.025287459741353192, 0.032366503958645966, 0.015052388464414137, 0.02066388397281238, 0.018054541693078296, 0.02070280020036866, 0.01945549253835773, 0.025156391382650328, 0.020554924433287595, 0.016329153567132198]",0.021362353995210047,0.004818649392747206
target_inno_subsidy,current_core_diff_pca+current_pr_sdg_similarity,10,"[0.5709261558368888, 0.5550421417080507, 0.5815577568720711, 0.5512708640500007, 0.6264523700013327, 0.5560723358709062, 0.5760863491190138, 0.554481875196121, 0.5153307513422198, 0.5223524202942782]",0.5609573020290883,0.02967992259295702,"[0.01888800079552937, 0.017377708920057734, 0.022277554338934788, 0.016315816023107478, 0.02358379515695235, 0.023010516674370977, 0.0190645185161704, 0.018942290872409798, 0.01833009542057116, 0.01754151935494038]",0.019533181607304446,0.00239640574462795
target_inno_subsidy,current_core_diff_w_pca+current_pr_w_sdg_similarity,10,"[0.5427733965167518, 0.5842921591942365, 0.5425723053787508, 0.6021656056431264, 0.5730730709216505, 0.6476699751114396, 0.605105808620297, 0.5447800650799315, 0.6002656499181127, 0.5513718797955613]",0.5794069916179858,0.03319802945892997,"[0.019406338963984658, 0.02388544928636579, 0.02604156645327304, 0.020464216950173433, 0.02459981642856368, 0.04180749602526235, 0.01909162965958074, 0.025545626122210098, 0.01980093825244085, 0.01813111840287309]",0.02387741965447277,0.00658527132496649
target_inno_subsidy,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,10,"[0.6334961005805413, 0.5660190949150172, 0.58519925508848, 0.6113687848450591, 0.6240709775315191, 0.6573588896005365, 0.6457012427085975, 0.5745818592915142, 0.6037388721484545, 0.5739865111740609]",0.6075521587883781,0.03057690527701,"[0.02347543443451413, 0.023077185665061565, 0.025977389753826997, 0.022324632723180388, 0.02777648030815011, 0.035823952556634134, 0.02209087212421631, 0.02830785800145921, 0.0201057023440515, 0.020835687054761853]",0.02497951949658562,0.004468753681652911
target_non_gov_investment,founding_doc2vec_diff,10,"[0.5678355701238996, 0.6017069701280228, 0.6157805402656661, 0.565361700373142, 0.51560255908082, 0.6831934909738113, 0.6115944744873374, 0.519435669540076, 0.5320581463832521, 0.6226801572681533]",0.583524927862418,0.0505684038613053,"[0.01105183866142418, 0.013021174729832129, 0.01261996640864969, 0.010391019726872824, 0.011210759778815776, 0.015020135207190557, 0.014023833374841845, 0.010492129251630868, 0.013338484994966846, 0.015014572371421293]",0.012618391450564601,0.0016758217370089212
target_non_gov_investment,founding_core_diff_pca+founding_pr_sdg_similarity,10,"[0.6022190036345749, 0.5387027573579647, 0.5469425776831459, 0.6025484064142658, 0.5884955752212389, 0.6133674895202608, 0.6142002938463116, 0.5674377284996754, 0.5730720606826804, 0.5664673523080602]",0.5813453245168179,0.025546888284555546,"[0.012085159979423398, 0.011886083251733199, 0.01342595655111346, 0.011952588360967199, 0.044015394590030205, 0.018904980882196852, 0.012901293595716205, 0.01514484813977261, 0.014069915226458422, 0.025631273744618766]",0.01800174943220303,0.00956717665447609
