model,target,mean_roc_auc,std_roc_auc,all_roc_auc,mean_pr_auc,std_pr_auc,all_pr_auc,mean_f1_macro,std_f1_macro,all_f1_macro,best_params
xgb,target_inv_exit,0.7112818093049883,0.019921409370887152,"[0.7050905470856031, 0.7146094562700641, 0.7377633236907023, 0.7155860116776402, 0.709492075886915, 0.6630011358191209, 0.7342626936660338, 0.7045761087546809, 0.7259414875681047, 0.7024952526310184]",0.08211429386143354,0.015476013265197684,"[0.08459736330246602, 0.07356092283727074, 0.10655686122444691, 0.10322174036259807, 0.07494318333334708, 0.05321914819633285, 0.0844275770903554, 0.07039454670441489, 0.09573540567086121, 0.07448618989224219]",0.47751517214733896,0.014759468853664571,"[0.4684471478436528, 0.5104121633248804, 0.47019561809445654, 0.4710766640943245, 0.46125705485048796, 0.48525991751739533, 0.47678201715468793, 0.4707527048831001, 0.49677442044586895, 0.4641940132645349]","{'max_depth': 4, 'min_child_weight': 9, 'gamma': 3.3042122786404655, 'subsample': 0.791672732896702, 'colsample_bytree': 0.5632304885299136, 'learning_rate': 0.03501341904009768, 'n_estimators': 250, 'reg_alpha': 3.3708092598977877, 'reg_lambda': 6.863645367851882, 'max_delta_step': 1}"
xgb,target_acquisition,0.807053201872755,0.06352770918916327,"[0.9258771929824562, 0.7042293233082707, 0.7721177944862155, 0.8177527151211361, 0.8092105263157895, 0.7505061997415972, 0.8029195672715352, 0.7516825115220703, 0.8509747960738183, 0.8852613919046609]",0.06266662097581434,0.04641529194361708,"[0.05563648799020445, 0.012776889182710718, 0.017859729923334875, 0.14111124183838622, 0.02762153389511765, 0.0864414723903972, 0.09904475499025953, 0.024800553406664417, 0.13380978111333197, 0.02756376502773637]",0.536905309850034,0.03850195798123133,"[0.49912390488110137, 0.4989357706272693, 0.49912390488110137, 0.5941733326175265, 0.5578845034946494, 0.5658530479409187, 0.5545538024876868, 0.4989357706272693, 0.5941733326175265, 0.5062957283252919]","{'max_depth': 9, 'min_child_weight': 7, 'gamma': 0.5387767767727082, 'subsample': 0.9781499468886165, 'colsample_bytree': 0.5744192081583888, 'learning_rate': 0.018347614153910397, 'n_estimators': 400, 'reg_alpha': 1.183721501952631, 'reg_lambda': 1.4634531611295518, 'max_delta_step': 8}"
xgb,target_non_gov_investment,0.9440664344375863,0.014608184611194045,"[0.9498437469671384, 0.9607135231662105, 0.9503872357770919, 0.9184944472488642, 0.9377523977788995, 0.9501072690560324, 0.9227473498233216, 0.9473372034326097, 0.9670242301867744, 0.9362569409389198]",0.3100866076594528,0.08914393586776764,"[0.3000303244586931, 0.32310888634705753, 0.2201649399247053, 0.26932889083090295, 0.2537478527681578, 0.2686568583127328, 0.2587715124484772, 0.39521101997572694, 0.540662523192264, 0.27118326833580997]",0.6309076608760444,0.03407844234821996,"[0.6895517938437249, 0.6761745228445492, 0.5861927861927863, 0.6408540360152896, 0.6529517710626376, 0.6057696539842429, 0.5782874075478454, 0.6192143830947512, 0.6309986646969896, 0.629081589477629]","{'max_depth': 10, 'min_child_weight': 5, 'gamma': 4.107188871887736, 'subsample': 0.8127966574743306, 'colsample_bytree': 0.6041563134313582, 'learning_rate': 0.058654931524501415, 'n_estimators': 350, 'reg_alpha': 2.5569243767477143, 'reg_lambda': 4.538712086800824, 'max_delta_step': 10}"
xgb,target_inno_subsidy,0.8869999052639986,0.015982516027835902,"[0.9132772609638385, 0.8815267188920752, 0.8643902566972093, 0.8790991974621407, 0.8839780430456032, 0.9081229555057879, 0.8924891569268861, 0.8841198949436246, 0.8627088554271246, 0.9002867127756978]",0.20457429687802814,0.042419431564459806,"[0.20291978000705121, 0.22590467197604744, 0.1577841024421696, 0.2508774209009742, 0.19785007101085975, 0.2862561806785854, 0.2145120369903899, 0.13964221965954673, 0.1584979092170808, 0.2114985758975763]",0.6223132283929752,0.020404732481947182,"[0.629081589477629, 0.6246732185772064, 0.6062407758802446, 0.661850443599493, 0.6219613506316043, 0.6337619227873428, 0.6312964967639404, 0.5770470726601594, 0.6175412584583667, 0.6196781550937658]","{'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.5319100205330023, 'subsample': 0.8503388801212345, 'colsample_bytree': 0.5256740963265072, 'learning_rate': 0.03161039573976899, 'n_estimators': 350, 'reg_alpha': 1.6283184983617562, 'reg_lambda': 8.972414164328935, 'max_delta_step': 0}"
