kind,target,metric,mean_improvement,mean_improvement_pct,std,n,p_value,ci_lower_99,ci_upper_99,ci_lower_95,ci_upper_95,ci_lower_90,ci_upper_90
founding,target_inv_exit,all_roc_auc,0.0014795011466426562,0.2,0.0039581933953182664,40,0.023154217573165832,-0.0002152336663535071,0.0031742359596388194,0.00021360948549841731,0.002745392807786895,0.00042502992441318136,0.002533972368872131
founding,target_inv_exit,all_pr_auc,-0.0003181183478305833,-0.3,0.004327032259315842,40,0.6445359223570102,-0.002170774717651634,0.0015345380219904674,-0.001701970400398016,0.0010657337047368497,-0.0014708490356499099,0.0008346123399887434
founding,target_acquisition,all_roc_auc,0.0040231583911778945,0.5,0.027378293757355152,40,0.35841204460072584,-0.007699095404178789,0.01574541218653458,-0.004732844740146241,0.01277916152250203,-0.0032704778710175688,0.011316794653373357
founding,target_acquisition,all_pr_auc,-0.007385491218523691,-10.2,0.03390068043770698,40,0.17610572736207056,-0.02190036140904919,0.00712937897200181,-0.018227454808268463,0.003456472371221083,-0.016416705301656027,0.0016457228646086447
founding,target_non_gov_investment,all_roc_auc,0.017600586267691423,1.9,0.013705627564109247,40,6.513047093202612e-10,0.011732403021686058,0.023468769513696787,0.013217313923122349,0.021983858612260494,0.013949377646596192,0.021251794888786653
founding,target_non_gov_investment,all_pr_auc,0.03216238910170595,12.9,0.045169296136584665,40,5.916928769061239e-05,0.012822763420013358,0.05150201478339854,0.017716547373333405,0.04660823083007849,0.02012919159278035,0.04419558661063155
founding,target_inno_subsidy,all_roc_auc,0.008987386343770448,1.0,0.010454868374994382,40,3.1316476853684537e-06,0.004511043823126396,0.0134637288644145,0.005643757225011373,0.012331015462529522,0.0062021869528897065,0.01177258573465119
founding,target_inno_subsidy,all_pr_auc,0.028341913437296622,18.4,0.02807629172511163,40,1.5159118584649617e-07,0.01632080576159224,0.040363021113001,0.019362679726101464,0.03732114714849178,0.020862329017276325,0.03582149785731692
current,target_inv_exit,all_roc_auc,0.027105920255841277,4.0,0.018057354358552068,40,1.0909680802698096e-11,0.019374507460740712,0.034837333050941846,0.02133089816322328,0.03288094234845928,0.022295402269728044,0.03191643824195451
current,target_inv_exit,all_pr_auc,0.01704397329655405,27.1,0.016385556895495857,40,8.159056653991288e-08,0.010028355076895703,0.024059591516212397,0.011803617971383067,0.02228432862172503,0.012678825745416055,0.021409120847692045
current,target_acquisition,all_roc_auc,-0.004926244868145116,-0.6,0.03892339706059307,40,0.4282983379569594,-0.021591634719152028,0.011739144982861794,-0.017374551163812882,0.007522061427522649,-0.015295521447797064,0.005443031711506832
current,target_acquisition,all_pr_auc,0.0010030688290443468,1.7,0.04817676400277485,40,0.8959136105786265,-0.019624230289178236,0.02163036794726693,-0.014404607785282091,0.016410745443370785,-0.011831324579108517,0.01383746223719721
current,target_non_gov_investment,all_roc_auc,0.02679494555521057,2.9,0.009901113148428606,40,9.865847597685894e-20,0.022555698134934684,0.031034192975486454,0.023628415949692505,0.029961475160728633,0.024157267746085644,0.029432623364335494
current,target_non_gov_investment,all_pr_auc,0.06142249441888471,25.1,0.0529423428233831,40,7.403681224617204e-09,0.03875477141917248,0.08409021741859694,0.04449071175742347,0.07835427708034595,0.04731854057703969,0.07552644826072974
current,target_inno_subsidy,all_roc_auc,0.014165949656682747,1.6,0.011158429985127142,40,8.653390439857492e-10,0.009388371133980299,0.018943528179385195,0.01059731061889806,0.017734588694467434,0.011193319941698103,0.017138579371667392
current,target_inno_subsidy,all_pr_auc,0.02818426026079606,16.0,0.026599367902901877,40,5.5221321977229536e-08,0.016795510321983155,0.03957301019960897,0.019677369703144633,0.03669115081844749,0.021098131519264693,0.03527038900232743
