model,metric,metric_value,target,mean_ap_website,mean_ap_base,p_value,ci_lower_99,ci_upper_99,ci_lower_95,ci_upper_95,ci_lower_90,ci_upper_90
founding_base,all_roc_auc,0.668959145980485,target_inv_exit,0.668959145980485,0.668959145980485,1.0,-0.034268682266031775,0.034268682266031775,-0.025012096149012328,0.025012096149012328,-0.02064453836290202,0.02064453836290202
founding_base,all_pr_auc,0.10991267003816105,target_inv_exit,0.10991267003816105,0.10991267003816105,1.0,-0.020117441923058706,0.020117441923058706,-0.014683359801975328,0.014683359801975328,-0.012119383474389175,0.012119383474389175
founding_base,all_roc_auc,0.8066552406898385,target_acquisition,0.8066552406898385,0.8066552406898385,1.0,-0.05206512719245205,0.05206512719245205,-0.03800140189922059,0.03800140189922059,-0.0313656798166233,0.0313656798166233
founding_base,all_pr_auc,0.07272064247050883,target_acquisition,0.07272064247050883,0.07272064247050883,1.0,-0.08353255917618026,0.08353255917618026,-0.060968915742601756,0.060968915742601756,-0.050322656385693824,0.050322656385693824
founding_base,all_roc_auc,0.9174485679174917,target_non_gov_investment,0.9174485679174917,0.9174485679174917,1.0,-0.023057216375964053,0.023057216375964053,-0.016829048413567027,0.016829048413567027,-0.013890396611110863,0.013890396611110863
founding_base,all_pr_auc,0.25011727792439287,target_non_gov_investment,0.25011727792439287,0.25011727792439287,1.0,-0.10667538848021446,0.10667538848021446,-0.0778604514958297,0.0778604514958297,-0.0642646289332292,0.0642646289332292
founding_base,all_roc_auc,0.8574718763056832,target_inno_subsidy,0.8574718763056832,0.8574718763056832,1.0,-0.0260619134962997,0.0260619134962997,-0.01902212291491692,0.01902212291491692,-0.015700521216665278,0.015700521216665278
founding_base,all_pr_auc,0.15437729122909943,target_inno_subsidy,0.15437729122909943,0.15437729122909943,1.0,-0.03266210083594345,0.03266210083594345,-0.023839481197301202,0.023839481197301202,-0.019676682881646455,0.019676682881646455
founding_doc2vec,all_roc_auc,0.6718765291231407,target_inv_exit,0.6718765291231407,0.668959145980485,0.8130031884614658,-0.032070589461073856,0.03790535574638518,-0.022617861641730585,0.028452627927041906,-0.018158352643752228,0.02399311892906355
founding_doc2vec,all_pr_auc,0.11057947376731178,target_inv_exit,0.11057947376731178,0.10991267003816105,0.926589485712149,-0.019878656307249058,0.021212263765550524,-0.014327844735278563,0.01566145219358003,-0.011709150157144256,0.013042757615445722
founding_doc2vec,all_roc_auc,0.8248334663453194,target_acquisition,0.8248334663453194,0.8066552406898385,0.3761444902682296,-0.039658122576177915,0.07601457388713968,-0.023972314821317064,0.06032876613227883,-0.01659159943497028,0.05294805074593205
founding_doc2vec,all_pr_auc,0.06652858942519482,target_acquisition,0.06652858942519482,0.07272064247050883,0.8219110566231175,-0.08439926876754454,0.07201516267691653,-0.06321950738727082,0.05083540129664281,-0.053243790457176414,0.0408596843665484
founding_doc2vec,all_roc_auc,0.9369245567570175,target_non_gov_investment,0.9369245567570175,0.9174485679174917,0.010081474215304411,-2.6544343854312952e-05,0.03897852202290576,0.005384587859546175,0.03356738981950528,0.007891199221469315,0.031060778457582136
founding_doc2vec,all_pr_auc,0.28493200713903905,target_non_gov_investment,0.28493200713903905,0.25011727792439287,0.4019631779390188,-0.08221913225549306,0.1518485906847854,-0.050503873998883314,0.12013333242817567,-0.03557254655053074,0.1052020049798231
founding_doc2vec,all_roc_auc,0.8643200108674932,target_inno_subsidy,0.8643200108674932,0.8574718763056832,0.45616805671039384,-0.019034965964346923,0.03273123508796691,-0.012043313317769588,0.025739582441389575,-0.00874447699689215,0.022440746120512136
founding_doc2vec,all_pr_auc,0.1822842311950288,target_inno_subsidy,0.1822842311950288,0.15437729122909943,0.08392615402436271,-0.016484102820753778,0.07229798275261248,-0.004219325246100608,0.06003320517795932,0.0014786764819987343,0.05433520344985998
founding_dim768,all_roc_auc,0.6682182026443703,target_inv_exit,0.6682182026443703,0.668959145980485,0.9508192104650826,-0.034841669038628606,0.033359782366399124,-0.025630342503430856,0.024148455831201374,-0.02128417456835618,0.0198022878961267
founding_dim768,all_pr_auc,0.10855754254803766,target_inv_exit,0.10855754254803766,0.10991267003816105,0.837164920233843,-0.020108804712818097,0.01739854973257133,-0.015027998746235748,0.01231774376598898,-0.012635574099438149,0.009925319119191381
founding_dim768,all_roc_auc,0.7971797439512545,target_acquisition,0.7971797439512545,0.8066552406898385,0.6034010969478997,-0.06105523927053574,0.04210424579336763,-0.04712202067087895,0.02817102719371084,-0.04054807036223501,0.021597076885066898
founding_dim768,all_pr_auc,0.07223683336196758,target_acquisition,0.07223683336196758,0.07272064247050883,0.98575829320858,-0.07767955879415427,0.07671194057707177,-0.056746483916115094,0.0557788656990326,-0.0468957191142244,0.04592810089714191
founding_dim768,all_roc_auc,0.929839498644653,target_non_gov_investment,0.929839498644653,0.9174485679174917,0.0954086872621771,-0.007993427896395837,0.03277528935071832,-0.002424150762007431,0.027206012216329914,0.00018322399441264743,0.02459863745990984
founding_dim768,all_pr_auc,0.2799100313569023,target_non_gov_investment,0.2799100313569023,0.25011727792439287,0.44050038201396435,-0.0789404546302525,0.13852596149527135,-0.04956478085218785,0.1091502877172067,-0.03570595565835441,0.09529146252337325
founding_dim768,all_roc_auc,0.8668739059553063,target_inno_subsidy,0.8668739059553063,0.8574718763056832,0.25324233576764044,-0.013699547583926351,0.032503606883172574,-0.0073917706791167825,0.026195829978363006,-0.004437406652699724,0.02324146595194595
